iter	Passed	Remaining
0	0	41
1	0	33
2	0	30
3	1	28
4	1	29
5	1	29
6	2	29
7	2	30
8	2	30
9	3	29
10	3	28
11	3	27
12	4	26
13	4	26
14	4	25
15	4	25
16	5	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	7	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	16
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	20	10
66	20	10
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
